date,startup_name,industry,city,investment_type,amount_usd,period
2015-06-04,Flipkart,E-commerce,Bengaluru,Private Equity,50000000.0,Pre-COVID
2015-06-04,Vidooly,Media,Noida,Private Equity,1000000.0,Pre-COVID
2015-06-05,kWatt Solutions,Cleantech,Mumbai,Seed,500000.0,Pre-COVID
2015-06-05,Medwell Ventures,HealthTech,Bengaluru,Private Equity,10000000.0,Pre-COVID
2015-06-05,Jugnoo,Mobility,Chandigarh,Private Equity,5000000.0,Pre-COVID
2015-06-08,PosterGully,E-commerce,Delhi,Seed,,Pre-COVID
2015-06-08,Applied Solar Technologies,Cleantech,Mumbai,Private Equity,40000000.0,Pre-COVID
2015-06-09,Clovia,E-commerce,Delhi,Private Equity,5000000.0,Pre-COVID
2015-06-09,PayMango,SaaS,Gurugram,Seed,234000.0,Pre-COVID
2015-06-09,Printland,Others,Delhi,Private Equity,,Pre-COVID
2015-06-09,Teritree,SaaS,Bengaluru,Seed,140000.0,Pre-COVID
2015-06-09,Swiggy,FoodTech,Bengaluru,Private Equity,16500000.0,Pre-COVID
2015-06-10,Voonik,E-commerce,Bengaluru,Private Equity,5000000.0,Pre-COVID
2015-06-10,Guiddoo,Mobility,Mumbai,Seed,,Pre-COVID
2015-06-11,AdStringO,SaaS,Mumbai,Seed,350000.0,Pre-COVID
2015-06-11,Faircent.com,FinTech,Gurugram,Seed,250000.0,Pre-COVID
2015-06-12,La Renon,HealthTech,Ahmedabad,Private Equity,16000000.0,Pre-COVID
2015-06-15,Homelane,RealEstate,Bengaluru,Private Equity,50000000.0,Pre-COVID
2015-06-15,iSTAR,EdTech,Bengaluru,Private Equity,,Pre-COVID
2015-06-15,Shippr,Logistics,Bengaluru,Seed,500000.0,Pre-COVID
2015-06-16,FoodAbhi,FoodTech,Mumbai,Seed,,Pre-COVID
2015-06-16,Karma Recycling,Others,Delhi,Private Equity,,Pre-COVID
2015-06-16,CouponRaja,SaaS,Mumbai,Seed,500000.0,Pre-COVID
2015-06-17,Babychakra,SaaS,Mumbai,Seed,,Pre-COVID
2015-06-17,Jiffstore,FoodTech,Bengaluru,Seed,,Pre-COVID
2015-06-17,MyDentist,Others,Mumbai,Private Equity,8200000.0,Pre-COVID
2015-06-18,HealthifyMe,HealthTech,Bengaluru,Private Equity,,Pre-COVID
2015-06-18,CAKART.in,EdTech,Bengaluru,Seed,,Pre-COVID
2015-06-18,Fracktal Works,Others,Bengaluru,Private Equity,3000000.0,Pre-COVID
2015-06-18,Hansa Customer Equity,SaaS,Mumbai,Private Equity,5000000.0,Pre-COVID
2015-06-18,Moovo,Logistics,Delhi,Seed,,Pre-COVID
2015-06-19,Housejoy,RealEstate,Bengaluru,Private Equity,4000000.0,Pre-COVID
2015-06-19,FundsIndia.com,FinTech,Chennai,Private Equity,11000000.0,Pre-COVID
2015-06-20,Cupick,Others,Bengaluru,Seed,120000.0,Pre-COVID
2015-06-20,Tracxn,SaaS,Bengaluru,Private Equity,10000000.0,Pre-COVID
2015-06-21,Holachef,FoodTech,Mumbai,Private Equity,3100000.0,Pre-COVID
2015-06-22,elong,SaaS,Bengaluru,Private Equity,5000000.0,Pre-COVID
2015-06-22,Ixigo,Mobility,Gurugram,Private Equity,,Pre-COVID
2015-06-22,SkillAngels,SaaS,Chennai,Seed,,Pre-COVID
2015-06-22,Vidgyor,Media,Bengaluru,Seed,500000.0,Pre-COVID
2015-06-22,Banihal,SaaS,Delhi,Seed,,Pre-COVID
2015-06-23,Healthians.com,HealthTech,Hyderabad,Seed,,Pre-COVID
2015-06-23,Goodservice,Others,Delhi,Private Equity,1600000.0,Pre-COVID
2015-06-23,Treebo,Mobility,Bengaluru,Private Equity,6000000.0,Pre-COVID
2015-06-23,EduKart,EdTech,Delhi,Private Equity,1000000.0,Pre-COVID
2015-06-24,LabInApp,EdTech,Bengaluru,Seed,,Pre-COVID
2015-06-24,Syona Cosmetics,HealthTech,Chennai,Seed,,Pre-COVID
2015-06-24,Sigrid Education,EdTech,Noida,Seed,,Pre-COVID
2015-06-24,Indix,SaaS,,Private Equity,15000000.0,Pre-COVID
2015-06-24,The Porter,Logistics,Mumbai,Private Equity,5500000.0,Pre-COVID
2015-06-24,Retention.ai,SaaS,Bengaluru,Seed,500000.0,Pre-COVID
